Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Abdullah C.H.","55321057000;","Malaysia’s national slope master plan—from theory to practice",2012,"Landslides and Engineered Slopes: Protecting Society through Improved Understanding - Proceedings of the 11th International and 2nd North American Symposium on Landslides and Engineered Slopes, 2012",,,,"135","151",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887865569&partnerID=40&md5=12f4b3dee7f8093ef8301d0d9439257d","Slope Engineering Branch, Public Works Department of Malaysia, Malaysia","Abdullah, C.H., Slope Engineering Branch, Public Works Department of Malaysia, Malaysia","Dealing with landslide risk reduction in real life is more challenging than designing slopes in a complex environment. Many papers on landslides do not deal with the realities faced by engineers or organisations tasked with landslide management via legislation, guidelines, and research and development. The Malaysian Public Works Department (PWD) came face to face with these realities after a series of devastating landslides between 1993 and 2003, including the Highland Towers incident in 1993 that killed 48 people. As a result, the Malaysian Government decided that concrete actions had to be taken by establishing a dedicated slope management unit and creating a National Slope Master Plan to reduce the risks and losses due to landslides. During this time, public opinion and outcry was starting to be vocalized by the general public. This paper shares the experiences and challenges of an organisation that not only deals with technical matters, but also has to engage with the public through landslide awareness and education. In addition to the general public, PWD also has to provide awareness and education to other various target groups such as local authorities and state governments. However, complicating the issue is the fact that PWD does not have jurisdiction over the affairs of the states. © 2012 Taylor & Francis Group, London.",,"Research and development management; Social aspects; Complex environments; Landslide management; Local authorities; Malaysian governments; Public works department; Research and development; Slope management; State governments; Landslides",Conference Paper,"Final","",Scopus,2-s2.0-84887865569
"Ong T.F., Musa G.","42861986300;7004159636;","SCUBA divers' underwater responsible behaviour: Can environmental concern and divers' attitude make a difference?",2012,"Current Issues in Tourism","15","4",,"329","351",,20,"10.1080/13683500.2011.604407","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930475081&doi=10.1080%2f13683500.2011.604407&partnerID=40&md5=610f8d9070f0084ef5b9641996fa93ec","Faculty of Sports Science and Recreation, Universiti Teknologi MARA, Shah Alam, Malaysia; Marketing and Information System, University of Malaya, Kuala Lumpur, 59200, Malaysia","Ong, T.F., Faculty of Sports Science and Recreation, Universiti Teknologi MARA, Shah Alam, Malaysia; Musa, G., Marketing and Information System, University of Malaya, Kuala Lumpur, 59200, Malaysia","The objective of this study is to examine the relationship between general environmental attitude and specific SCUBA diving attitude with responsible behaviour among divers underwater. The empirical data were collected from divers (N = 413) at the five most popular islands for SCUBA diving in Malaysia using the combination of purposeful, quota and convenience sampling. The revised New Environmental Paradigm (NEP) scale [Dunlap, R.E., Van Liere, K., Mertig, A., & Jones, R. (2000). Measuring endorsement of the New Ecological Paradigm: A revised NEP scale. Journal of Social Issues, 56(3), 425-442] was utilised to measure the general environmental concern (attitude) among divers. Measurement of SCUBA diving attitude and underwater responsible behaviour was self-developed based on both literature review and expert opinions. Correlation and regression analyses were employed to examine the relationships among the constructs. Divers are mostly ecocentric and highly responsible underwater and possess a positive SCUBA diving attitude. Divers' behaviour underwater has a direct relationship with both environmental concern and specific SCUBA diving attitude. The latter partially mediates the relationship between environmental concern and responsible behaviour underwater. The cognitive and conative dimensions of specific SCUBA diving attitude are strongly related to skill diving behaviour and safety diving behaviour, respectively. The affective dimension of specific SCUBA diving attitude has a strong relationship with non-contact diving behaviour. Based on the study findings, this paper presents some of its theoretical and managerial contributions. © 2012 Taylor & Francis.","Diving attitude; Environmental concern; SCUBA diving; Underwater behaviour","behavior; data set; diving behavior; empirical analysis; environmental assessment; expert system; literature review; public attitude; scuba diving; underwater environment; Malaysia",Review,"Final","",Scopus,2-s2.0-84930475081
"Fulcher L.C., Ainsworth F.","6602105560;56473549100;","Group care practice with children and young people revisited",2012,"Group Care Practice with Children and Young People Revisited",,,,"1","308",,,"10.4324/9780203726167","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920728717&doi=10.4324%2f9780203726167&partnerID=40&md5=38d7ba18f2f853ffe0523ebdad2ba48d","United Arab Emirates University, United Arab Emirates; School of Social Work and Community Welfare, James Cook UniversityQLD, Australia","Fulcher, L.C., United Arab Emirates University, United Arab Emirates; Ainsworth, F., School of Social Work and Community Welfare, James Cook UniversityQLD, Australia","Find out how group care for children has changed in the last 20 yearsGroup Care Practice with Children and Young People Revisited focuses on the core issues that shape the quality of care that’s provided in institutional and residential care settings, as well as day care services that rely on the group process. Leading authorities on residential group care practice from around the world examine practice concepts centered on three broad themes: Working directly with children; working indirectly to support children and their families; and organizational influences on practice. This unique book offers valuable insights for dealing with the daily challenges of working with young people in responsive group care.Group Care Practice with Children and Young People Revisited builds on contemporary themes that were explored by the editors more than 20 years ago in Group Care for Children: Concept and Issues, and Group Care Practice with Children, both out of print. Contributors to this updated collection put a fresh spin on the original material, as well as cross-cultural analysis from both sides of the Atlantic, Australia and New Zealand, Malaysia, China, and the United Arab Emirates. They revisit the key issues identified in the earlier books and provide personal and professional reflections on what has happened to their practice themes since the early 1980s. Special attention is paid to how social policy imperatives—normalization, de-institutionalization, mainstreaming, least restrictive environment, minimal intervention, and diversion—have reshaped the field, group care methods and skills needed for direct and indirect care, and group care as an occupational.Group Care Practice with Children and Young People Revisited examines (and re-examines): • the relationships between group care practice and education • how group care programs can become hostile to families • primary care in secondary settings • the importance of shared language in a group care center • group development• how group composition can influence the overall functioning of the group • managing occupational stresses in group care practice • patterns of career development in child and youth care • economic influences that impact group care • challenges facing the future of group care services for children • and much moreGroup Care Practice with Children and Young People Revisited is a must-read for youth case workers, child and youth care educators, and anyone working in child welfare, including youth justice managers, administrators, and policymakers. © 2006 by The Haworth Press, Inc. All rights reserved.",,,Book,"Final","",Scopus,2-s2.0-84920728717
"Chen Y.-Y., Chien-Chang Wu K., Yousuf S., Yip P.S.F.","26021670700;24473835100;54886462700;7102503720;","Suicide in Asia: Opportunities and challenges",2012,"Epidemiologic Reviews","34","1",,"129","144",,184,"10.1093/epirev/mxr025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862907899&doi=10.1093%2fepirev%2fmxr025&partnerID=40&md5=ba325f2c1c75d0777a7715a2bf4d1511","Taipei City Psychiatric Centre, Taipei City Hospital, Taipei, Taiwan; Institute of Public Health, Department of Public Health, National Yang-Ming University, Taipei, Taiwan; Department of Social Medicine, College of Medicine, National Taiwan University, Taipei, Taiwan; Department of Psychiatry, National Taiwan University Hospital, Taipei, Taiwan; Centre for Suicide Research and Prevention, University of Hong Kong, Pokfulam, Hong Kong, Hong Kong; Department of Social Work and Social Administration, University of Hong Kong, Hong Kong, Hong Kong","Chen, Y.-Y., Taipei City Psychiatric Centre, Taipei City Hospital, Taipei, Taiwan, Institute of Public Health, Department of Public Health, National Yang-Ming University, Taipei, Taiwan; Chien-Chang Wu, K., Department of Social Medicine, College of Medicine, National Taiwan University, Taipei, Taiwan, Department of Psychiatry, National Taiwan University Hospital, Taipei, Taiwan; Yousuf, S., Centre for Suicide Research and Prevention, University of Hong Kong, Pokfulam, Hong Kong, Hong Kong; Yip, P.S.F., Centre for Suicide Research and Prevention, University of Hong Kong, Pokfulam, Hong Kong, Hong Kong, Department of Social Work and Social Administration, University of Hong Kong, Hong Kong, Hong Kong","Asian countries account for approximately 60% of the world's suicides, but there is a great mismatch in the region between the scale of the problem and the resources available to tackle it. Despite certain commonalities, the continent itself is culturally, economically, and socially diverse. This paper reviews current epidemiologic patterns of suicide, including suicide trends, sociodemographic factors, urban/rural living, suicide methods, sociocultural religious influences, and risk and protective factors in Asia, as well as their implications. The observed epidemiologic distributions of suicides reflect complex interplays among the traditional value/culture system, rapid economic transitions under market globalization, availability/desirability of suicide methods, and sociocultural permission/prohibitions regarding suicides. In general, compared with Western countries, Asian countries still have a higher average suicide rate, lower male-to-female suicide gender ratio, and higher elderly-to-general-population suicide ratios. The role of mental illness in suicide is not as important as that in Western countries. In contrast, aggravated by access to lethal means in Asia (e.g., pesticide poisoning and jumping), acute life stress (e.g., family conflicts, job and financial security issues) plays a more important role than it does in Western countries. Some promising suicide prevention programs in Asia are illustrated. Considering the specific socioeconomic and cultural aspects of the region, community-based suicide intervention programs integrating multiple layers of intervention targets may be the most feasible and cost-effective strategy in Asia, with its populous areas and limited resources. © The Author 2011. Published by Oxford University Press on behalf of the Johns Hopkins Bloomberg School of Public Health. All rights reserved.","Asia; primary prevention; suicide","Afghanistan; alcohol abuse; Asia; Bangladesh; China; cost effectiveness analysis; economic aspect; Egypt; environment; family conflict; finance; gross national product; groups by age; human; Human immunodeficiency virus infection; India; Indonesia; intoxication; Iran; Iraq; Israel; Japan; Jordan; jumping; Kuwait; Lebanon; life stress; major depression; Malaysia; Nepal; Oman; Pakistan; Palestine; population size; priority journal; program development; reading; religion; review; risk assessment; rural population; sex ratio; Singapore; social class; socioeconomics; South Korea; Sri Lanka; suicide; suicide attempt; Taiwan; Thailand; trend study; Turkey (republic); urban population; Viet Nam; Western Hemisphere",Review,"Final","",Scopus,2-s2.0-84862907899
"Thaw Y.Y., Dominic P.D.D., Mahmood A.K.","55091085800;25824770400;24344688000;","A structural equation modelling approach for Malaysian consumers' perspectives on e-commerce B2C transactions",2012,"International Journal of Business Information Systems","10","2",,"178","196",,7,"10.1504/IJBIS.2012.047146","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861861637&doi=10.1504%2fIJBIS.2012.047146&partnerID=40&md5=d88a9f4a46887ae7249ce2227fde2b3a","Department of Computers and Information Science, Universiti Teknologi PETRONAS, 31750, Tronoh, Perak, Malaysia","Thaw, Y.Y., Department of Computers and Information Science, Universiti Teknologi PETRONAS, 31750, Tronoh, Perak, Malaysia; Dominic, P.D.D., Department of Computers and Information Science, Universiti Teknologi PETRONAS, 31750, Tronoh, Perak, Malaysia; Mahmood, A.K., Department of Computers and Information Science, Universiti Teknologi PETRONAS, 31750, Tronoh, Perak, Malaysia","The continuous growth and development of successful e-commerce essentially relies upon consumers' trust in e-commerce transactions. In order to adopt e-commerce, a consumer needs to make judgments in an environment of critical conflicting forces, namely, security, privacy, trust, and risk concerns. This study focuses on the consumers' trust to adopt e-commerce, which comprises purchasing products and services from web vendors, thus employing the model of business to consumer (B2C) e-commerce. The results of the study show that consumers' perceived risk influences their trust in e-commerce transactions, while the concept of perceived privacy evidences itself mainly through perceived security as well as trustworthiness of web vendors. In addition, the institutional trust influences a consumers' perceived risk in e-commerce transactions. The findings also suggest that economic incentives and institutional trust have relationships with consumers' perceived privacy. The overall model fit is tested by structural equation modelling (SEM) using AMOS 18.0 and the hypothesis, assumptions for SEM and descriptive statistics are analysed using SPSS 12.0. Copyright © 2012 Inderscience Enterprises Ltd.","Consumer behavior; Malaysia; Perceived privacy; Perceived risk; Perceived security; SEM; Structural equation modeling; Trust",,Article,"Final","",Scopus,2-s2.0-84861861637
"Aziz N.A., Ariffin A.A.M., Omar N.A., Evin C.","36932259400;25926315700;36640843500;55505843400;","Examining the impact of visitors' emotions and perceived quality towards satisfaction and revisit intention to theme parks",2012,"Jurnal Pengurusan","35",,,"97","109",,14,"10.17576/pengurusan-2012-35-09","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870285352&doi=10.17576%2fpengurusan-2012-35-09&partnerID=40&md5=c40b19a11389efe9ecc1ee0f7fdb216f","UKM-Graduate School of Business, Universiti Kebangsaan Malaysia, UKM, 43600 Bangi, Selangor, Malaysia; Faculty of Economics and Management, Universiti Kebangsaan Malaysia, UKM, 43600 Bangi, Selangor, Malaysia","Aziz, N.A., UKM-Graduate School of Business, Universiti Kebangsaan Malaysia, UKM, 43600 Bangi, Selangor, Malaysia; Ariffin, A.A.M., UKM-Graduate School of Business, Universiti Kebangsaan Malaysia, UKM, 43600 Bangi, Selangor, Malaysia; Omar, N.A., Faculty of Economics and Management, Universiti Kebangsaan Malaysia, UKM, 43600 Bangi, Selangor, Malaysia; Evin, C., UKM-Graduate School of Business, Universiti Kebangsaan Malaysia, UKM, 43600 Bangi, Selangor, Malaysia","Theme parks attempt to create enjoyable and amazing experiences for visitors. As a result, theme parks are important sectors within the tourism industry, which has grown dramatically with theme parks becoming the main tourist destinations in some countries. The purpose of this research is to analyze how the perceived quality and emotions of visitors in Malaysia's theme park environments influence their satisfaction and behavioral intentions to revisit. Three main factors that will influence visitors 'satisfaction towards theme parks and their behavioral intentions to revisit are perceived quality, arousal-based experiences and pleasure-based experiences. This study involves 320 respondents, employing a questionnaire survey as the main method of data collection. The results of the study indicate that two significant predictors that influence the satisfaction among the theme park visitors are arousal-based experiences and perceived service quality. The theme parks' managements can use the findings of this study in planning and executing marketing strategies to improve the theme park service offerings.","Perceived quality; Revisit intention; Theme park; Visitor's emotions",,Article,"Final","",Scopus,2-s2.0-84870285352
"Idris N.H., Ismail Z.","54790864600;54790905000;","Framework policy for sustainable construction in Malaysia",2011,"ISBEIA 2011 - 2011 IEEE Symposium on Business, Engineering and Industrial Applications",,, 6088855,"441","446",,9,"10.1109/ISBEIA.2011.6088855","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84255177301&doi=10.1109%2fISBEIA.2011.6088855&partnerID=40&md5=d6fa62005a8c180fc94f2b621efe8b18","Legal Aspects in Built Environment Initiative Group, Faculty of Architecture, Planning and Surveying, Universiti Teknologi MARA (UiTM), 40450 Shah Alam, Selangor, Malaysia","Idris, N.H., Legal Aspects in Built Environment Initiative Group, Faculty of Architecture, Planning and Surveying, Universiti Teknologi MARA (UiTM), 40450 Shah Alam, Selangor, Malaysia; Ismail, Z., Legal Aspects in Built Environment Initiative Group, Faculty of Architecture, Planning and Surveying, Universiti Teknologi MARA (UiTM), 40450 Shah Alam, Selangor, Malaysia","Since the construction industry has great impact on the environment, the consideration of sustainable development through sustainable construction is needed. Sustainable construction provides solutions that require optimization of all types of beneficial environmental impact. Therefore, sustainable construction is important in order to achieve sustainable development, taking into consideration the environment, economic and social issues. This paper is a review of sustainable practices in construction industry. This research proposed a mixed method of qualitative and quantitative research to develop a framework policy for sustainable construction in Malaysia. This framework will include new strategies and guidelines that can be used as criteria to benchmark the gaps in process and strategies for sustainable construction industry in order to capture good practices in terms of minimizing environmental impacts and improving Malaysian readiness towards the sustainable issues. © 2011 IEEE.","environmental impact; Global warming; policies; sustainable construction; sustainable development","Good practices; Impact on the environment; In-process; Malaysia; Malaysians; Mixed method; New strategy; policies; Quantitative research; Social issues; Sustainable construction; Sustainable practices; Construction industry; Environmental impact; Environmental protection; Global warming; Industrial applications; Planning; Sustainable development",Conference Paper,"Final","",Scopus,2-s2.0-84255177301
"Idrus A., Sodangi M., Husin M.H.","26532953200;54781828400;54781437100;","Prioritizing project performance criteria within client perspective",2011,"Research Journal of Applied Sciences, Engineering and Technology","3","10",,"1142","1151",,17,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-82455191713&partnerID=40&md5=d5d6260cd16af6d27bd60601adc08ac4","Civil Engineering Department, Universiti Teknologi PETRONAS, Bandar Seri Iskandar, 31750 Tronoh, Perak Darul Ridzuan, Malaysia","Idrus, A., Civil Engineering Department, Universiti Teknologi PETRONAS, Bandar Seri Iskandar, 31750 Tronoh, Perak Darul Ridzuan, Malaysia; Sodangi, M., Civil Engineering Department, Universiti Teknologi PETRONAS, Bandar Seri Iskandar, 31750 Tronoh, Perak Darul Ridzuan, Malaysia; Husin, M.H., Civil Engineering Department, Universiti Teknologi PETRONAS, Bandar Seri Iskandar, 31750 Tronoh, Perak Darul Ridzuan, Malaysia","Successful performance in a construction project helps to deliver good products to the client. At present, there is no standard approach used by clients to evaluate project performance as project success carries different definitions to different people. Some used the traditional project performance measures of cost, quality and time while others used additional non-traditional measures such as the environment, health and safety, level of technology and contractor planning. The purpose of this study is to identify and rank the actual criteria used by local clients in current practice to measure the performance of a construction project during construction as well as upon completion. The ranking is based on the relative importance of the criteria as perceived by project performance decision makers working for clients' organizations within the Malaysian construction industry using their accumulated experience and judgment. The objective of this study was investigated through a postal questionnaire which covered a selected sample of the study. Data were analyzed using mean, variance, frequency and severity index analyses. The results of this paper show that Quality of finished project, Construction cost and Construction time were the three most important criteria considered crucial by the respondents for evaluating project performance from current practice in Malaysia. The paper provides supportive practical solution for project performance decision makers working for clients' organizations within the Malaysian construction industry to enhance and improve their practices in measuring their clients' project performance so that their clients would enjoy higher satisfaction levels from their projects. More so, the paper would serve as a guide to contractors by helping them to understand that Quality of finished project, Construction cost and Construction time are the criteria given high priority by clients in measuring the performance of a construction project. © Maxwell Scientific Organization, 2011.","Construction; Cost; Project; Quality; Satisfaction; Time","Construction costs; Construction projects; Construction time; Decision makers; During construction; Health and safety; Malaysia; Malaysian construction industry; Non-traditional; Practical solutions; Prioritizing projects; Project; Project performance; Project success; Relative importance; Satisfaction; Severity index; Time; Construction; Contractors; Costs; Decision making; Image quality; Construction industry",Article,"Final","",Scopus,2-s2.0-82455191713
"Ng-Poh-Soon J., Yin C.P., Wan W.S., Saleem Haja Nazmudeen M.","57046066800;55062024100;55061546700;54992143900;","Energizing ICT infrastructure for Malaysia SME competitveness during economic turbulence",2011,"Proceedings - 2011 IEEE Student Conference on Research and Development, SCOReD 2011",,, 6148756,"310","314",,7,"10.1109/SCOReD.2011.6148756","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857846554&doi=10.1109%2fSCOReD.2011.6148756&partnerID=40&md5=1f6672a868f6bdfaa122003bda6ccfdd","Faculty of Information and Communication Technology, University Tunku Abdul Rahman, Bandar Barat, 31900 Kampar, Perak, Malaysia","Ng-Poh-Soon, J., Faculty of Information and Communication Technology, University Tunku Abdul Rahman, Bandar Barat, 31900 Kampar, Perak, Malaysia; Yin, C.P., Faculty of Information and Communication Technology, University Tunku Abdul Rahman, Bandar Barat, 31900 Kampar, Perak, Malaysia; Wan, W.S., Faculty of Information and Communication Technology, University Tunku Abdul Rahman, Bandar Barat, 31900 Kampar, Perak, Malaysia; Saleem Haja Nazmudeen, M., Faculty of Information and Communication Technology, University Tunku Abdul Rahman, Bandar Barat, 31900 Kampar, Perak, Malaysia","The Malaysia's Small and Medium Enterprises although consist of almost half of the total Malaysian companies, is still very fragmented with various type of ICT requirements and variance of complexity. During the turbulent economic period, the hostility of the environment becomes a battle field between various departments competing for the available scarce. With the industry inundated with so many techno evangelists promoting various enablers and inhibitors targeted mainly for larger network, the challenge of having the right balance scorecard for competitive barebones infrastructure specification have made SMEs rotting. The Information Technology Infrastructure Library is much generalized and it is not focused on Malaysia's SME under unstable economic conditions. The preliminary specialised framework in this research will therefore help to address the deficiency available resource, benchmark ICT specification to make better decision in uncertain times and energize SMEs competitiveness and can also be exported to other industry or country. © 2011 IEEE.","computer; economic; framework; infrastructure; Malaysia; network; SME; turbulence","Balance scorecard; Battle fields; Competitveness; Economic condition; framework; ICT infrastructures; Information technology infrastructure library (ITIL); infrastructure; Larger networks; Malaysia; Malaysians; Small and medium enterprise; SME; Competition; Computers; Economics; Industry; Networks (circuits); Research; Specifications; Turbulence; Information technology",Conference Paper,"Final","",Scopus,2-s2.0-84857846554
"Kinuthia B.K.","54684290100;","Markets vs. government foreign direct investment and industrialization in Malaysia [Mercados o gobierno: Inversión extranjera directa e industrialización en Malasia]",2011,"Economia Mexicana, Nueva Epoca","20","2",,"409","443",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-83455200093&partnerID=40&md5=32519a60d72a484ab87d47f7cc6b2563","Tracking Development Project, African Studies Centre, Leiden Universrsity, Netherlands","Kinuthia, B.K., Tracking Development Project, African Studies Centre, Leiden Universrsity, Netherlands","This paper examines the changing role of government and foreign firms in Malaysia's industrialization process. Economists have held different views on the role of government in industrialization. Some believed that the developing world was full of market failures and the only way in which poor countries could escape from their poverty traps was through the forceful government intervention. Others opposed to this view argued that government failure was by far the bigger evil and that it should allow the market to steer the economy. Reality has been different from expectation for either side. From a country dependent on agriculture and primary commodities in the sixties, Malaysia has today become an export-driven economy spurred by high technology, knowledge based and capital intensive industries. The market oriented economy and the government's strategic industrial policy that maintain a business environment with opportunities for growth and profits have made the country a highly competitive manufacturing and export base. Multinationals have been at the forefront in this process and working hand in hand with the government through a process known as ""hand holding"". As firms move up the value chain their requirements change, and, to remain competitive in a global environment, the government has had to change its policies and approach to ensure that this objective is not compromised. In 2006 the government identified the service sector as the new driver for growth, which suggests a new era in industrialization. Based on this evidence we conclude that, for successful industrialization, developing countries will require flexible governments that facilitate the development of the private sector. This approach will generate greater benefits than would otherwise occur if developing countries were to adopt either government or market based development trajectories.","Export orientation; Foreign direct investment; Government; Import substitution; Industrialization",,Note,"Final","",Scopus,2-s2.0-83455200093
"Kamil N.F.N.M., Nasir A., Rashid N.K.A.","55241622200;57203482709;55241192600;","Factors that contribute to sustainable livelihood of the Orang Asli communities",2011,"Journal of Sustainability Science and Management","6","2",,"285","291",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861888962&partnerID=40&md5=f61b6bd1148e1448694eb4456d32e881","Faculty of Management and Economic, Universiti Malaysia Terengganu, 21030 Kuala Terengganu, Terengganu, Malaysia","Kamil, N.F.N.M., Faculty of Management and Economic, Universiti Malaysia Terengganu, 21030 Kuala Terengganu, Terengganu, Malaysia; Nasir, A., Faculty of Management and Economic, Universiti Malaysia Terengganu, 21030 Kuala Terengganu, Terengganu, Malaysia; Rashid, N.K.A., Faculty of Management and Economic, Universiti Malaysia Terengganu, 21030 Kuala Terengganu, Terengganu, Malaysia","The concept of sustainable livelihood appeared in the report of an advisory panel of the World Commission on Environment and Development in 1987. The report refers to the human basic needs, food security, sustainable agriculture practice and poverty. Sustainable livelihood refers to a way of approaching development that incorporates all aspects of human livelihoods and the means whereby people obtain them. The study examines the factors that contribute to sustainable livelihood of the Orang Asli community in Malaysia. Based on a case study of Orang Asli communities in Pekan, Pahang, this study evaluates the level of sustainability of the communities using indicators covering economic, social and physical dimensions. Based on the regression analysis, total income, education level and health show positive relationship with sustainable livelihood while main job, marital status and dependents show negative relationship. The results suggest that higher level of education and income contribute to sustainable livelihood among the Orang Asli. © Universiti Malaysia Terengganu Publisher.","Ecology-based Communities; Livelihood; Orang asli; Sustainable livelihood framework",,Article,"Final","",Scopus,2-s2.0-84861888962
"Kasim A., Ismail A., Issa A.J.","23060623200;55184783500;57200505624;","Regulatory pressures affecting the restaurant business's responsible behaviors in Penang, Malaysia",2011,"Anatolia","22","3",,"390","400",,2,"10.1080/13032917.2011.634917","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84868125674&doi=10.1080%2f13032917.2011.634917&partnerID=40&md5=8c6bef784c967ef1be49b99633de0bda","Universiti Utara Malaysia, Tourism and Hospitality, Sintok, 06010, Malaysia; Universiti Teknologi Mara, Shah Alam, Malaysia; University of Amman, Tourism and Hospitality, Amman, Jordan","Kasim, A., Universiti Utara Malaysia, Tourism and Hospitality, Sintok, 06010, Malaysia; Ismail, A., Universiti Teknologi Mara, Shah Alam, Malaysia; Issa, A.J., University of Amman, Tourism and Hospitality, Amman, Jordan","While the impact of hotel operation on the environment has now been well discussed in the literature, there is not much awareness about the environmental responsibility of restaurant operation on its surroundings. It is also not known if the sector is being pressured to 'green' its operation. This paper investigates the existence and strength of regulatory pressures in relation to restaurant greening within the context of Penang, Malaysia, because it is widely agreed in the literature that regulatory pressure is an important driver for business to change the way they do business. Using qualitative data based on semi-structured interviews of key informants from the restaurants, and various agencies relevant to the sector, it looks at the existence and strength of such pressure. The findings indicate that the restaurant industry does not receive much attention from the authorities in their role of exacerbating degradation of the environment. The situation is attributed to three factors, i.e. 'weak enforcement', 'unfocused environmental effort' by the government and 'poor service attitudes among the government officers'. The paper ends with a discussion on the theoretical and managerial implications of the findings. © 2011 Taylor & Francis.","CSR; External pressure; Penang; Restaurant business","business; corporate strategy; environmental impact; regulatory approach; service sector; Malaysia; Penang; West Malaysia",Article,"Final","",Scopus,2-s2.0-84868125674
"Musa A.R., Tawil N.M., Sood S.M., Che-Ani A.I., Hamzah N., Basri H.","57209644635;35757084400;36807225100;25824708700;8341586800;57192888245;","Constructing formulation of affordable green home for middle income group",2011,"Procedia Engineering","20",,,"466","473",,6,"10.1016/j.proeng.2011.11.189","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84855655424&doi=10.1016%2fj.proeng.2011.11.189&partnerID=40&md5=f63b4714f9d400ddab64f599071a67a2","Department of Architecture, Solar Energy Research Institute, Universiti Kebangsaan Malaysia Universiti Kebangsaan Malaysia, 43600 UKM, Bangi, Selangor, Malaysia","Musa, A.R., Department of Architecture, Solar Energy Research Institute, Universiti Kebangsaan Malaysia Universiti Kebangsaan Malaysia, 43600 UKM, Bangi, Selangor, Malaysia; Tawil, N.M., Department of Architecture, Solar Energy Research Institute, Universiti Kebangsaan Malaysia Universiti Kebangsaan Malaysia, 43600 UKM, Bangi, Selangor, Malaysia; Sood, S.M., Department of Architecture, Solar Energy Research Institute, Universiti Kebangsaan Malaysia Universiti Kebangsaan Malaysia, 43600 UKM, Bangi, Selangor, Malaysia; Che-Ani, A.I., Department of Architecture, Solar Energy Research Institute, Universiti Kebangsaan Malaysia Universiti Kebangsaan Malaysia, 43600 UKM, Bangi, Selangor, Malaysia; Hamzah, N., Department of Architecture, Solar Energy Research Institute, Universiti Kebangsaan Malaysia Universiti Kebangsaan Malaysia, 43600 UKM, Bangi, Selangor, Malaysia; Basri, H., Department of Architecture, Solar Energy Research Institute, Universiti Kebangsaan Malaysia Universiti Kebangsaan Malaysia, 43600 UKM, Bangi, Selangor, Malaysia","The purpose of this research is to develop a new affordable and sustainable green home which focusing on affordability of young generation to have their own house in early age of working. When housing affordability is measured by rent-income ratios based on annual income, affordability must be correlated with income. Moreover, housing will appear to be less affordable for the very young and very old; it will appear to be more affordable to households at the peak of their lifetime income profiles [1] (Quigley J.M & Raphael. S (2004). In addition with the nation's need to fulfill the people housing needs, green sustainable living is also of importance to the government. With global concern on the environment and sustaining the world resources for the future generations, Malaysia has also embarked on initiatives for sustainable development. Green house is one of the best doable efforts that could be taken up for the cause. Incorporating rain-water harvesting system in the housing development is what this research is focusing on. This research then appraises the costing of materials for commercial housing development as possible avenue for cost reduction in the house price. Another element is the management of materials at construction site. It is hoped that out of this research a Commercially Affordable Sustainable House (CASH) module could be developed and later implemented for meeting the country's housing needs and becoming an environmentally responsible country at the same time. © 2011 Published by Elsevier Ltd.","Affordable; Formulation; Middle income; Sustainable housing","Affordable; Construction sites; Early age; Environmentally responsible; Formulation; Future generations; Harvesting system; House prices; Housing affordability; Housing development; Malaysia; Middle income; Sustainable housing; Cost reduction; Houses; Research; Water conservation; Water supply; Sustainable development",Conference Paper,"Final","",Scopus,2-s2.0-84855655424
